id,title,url,editors,year,in_franzini,in_sahle,franzini_id,tei_declared,xml_downloadable,available,period,language,variance,ride
1061,"The Vergil project. Resources for Students, Teachers, and Readers of Vergil",http://vergil.classics.upenn.edu/,,,yes,no,75,no,no,yes,Antiquity,ENG; LAT,partly,no
1062,The Walt Whitman Archive,http://www.whitmanarchive.org/,"Ed. by Matt Cohen, Ed Folsom and Kenneth M. Price. Lincoln (NE): University of Nebraska, 1995-.",1995,yes,yes,108,yes,yes,yes,Long Nineteenth Century,ENG,not provided,no
1063,The Wandering Jew's Chronicle,http://wjc.bodleian.ox.ac.uk,,,yes,no,232,yes,yes,yes,Early Modern; Long Nineteenth Century,ENG,yes,no
1064,The Wellington Valley Project,https://downloads.newcastle.edu.au/library/cultural%20collections/the-wellington-valley-project/,"Ed. by Hilary M. Carey and David A. Roberts. Newcastle: University of Newcastle, 2002.",2002,no,yes,,,,,,,,
1065,The Wife of Bath's prologue and tale: from the Canterbury Tales,na,"Ed. by Elizabeth Salter. Leicester: Cambridge University Press, 1998; ISBN 978-0521635301; CD-ROM.",1998,no,yes,,,,,,,,
1066,The Willa Cather Archive,http://cather.unl.edu,"Ed. by Andrew Jewell. Lincoln (NE): University of Nebraska, 1997-.",1997,no,yes,,,,,,,,
1067,The William Blake Archive,http://www.blakearchive.org/,"Ed. by Morris Eaves, Robert Essick and Joseph Viscomi. Chapel Hill (NC): University of North Carolina, 1996-.",1996,no,yes,,,,,,,,
1068,The William Elliot Griffis Collection: Online Prototype,https://web.archive.org/web/20080516085000/http://www.ceth.rutgers.edu/projects/Griffis/project.htm,"Ed. by Center for Electronic Texts in the Humanities (CETH). New Brunswick / Princeton (NJ): Rutgers University / Princeton University, 1999.",1999,no,yes,,,,,,,,
1069,The Winnifred Eaton Archive,https://www.winnifredeatonarchive.org/,"Ed. by Mary Chapman and Jean Lee Cole. Vancouver / Baltimore: University of British Columbia / Loyola University Maryland, 2020-.",2020,no,yes,,,,,,,,
1070,The Woodman Diary,https://web.archive.org/web/20190919170943/http://dhprojects.maynoothuniversity.ie:80/woodman,"Ed. by Meredith Dabek, Noel Groome, Richard Hadden, Shane A. McGarry, Nathan Murphy, Neale Rooney and Joshua D. Savage. Maynooth: An Foras Feasa, 2015.",2015,no,yes,,,,,,,,
1071,The Workdiaries of Robert Boyle,http://www.livesandletters.ac.uk/wd/index.html,"Hg. von Michael Hunter. London: A.H.R.C / Centre For Editing Lives And Letters, 2004.",2004,yes,yes,30,yes,no,yes,Early Modern,ENG,not provided,no
1072,The Works of Charles Gildon – A Digital Documentary Edition,http://di.salemstate.edu/snowka/index.html,"Ed. by Scott Nowka. Salem (MA): Salem State University, 2022-.",2022,no,yes,,,,,,,,
1073,The Works of Charlotte Smith - An Electronic Edition,https://cdrhsites.unl.edu/ctsmithsite,"Ed. by Stephen C. Behrendt. Lincoln (NE): University of Nebraska, s.a [probably 2006].",2006,no,yes,,,,,,,,
1074,The Yale Digital Edition of the Works of Samuel Johnson,http://www.yalejohnson.com,"Robert DeMaria Jr. (General Editor). New Haven (CT): Yale University, 2014.",2014,no,yes,,,,,,,,
1075,The Yellow Nineties Online,http://www.1890s.ca,"Ed. by Dennis Denisoff and Lorraine Janzen Kooistra. Toronto: Ryerson University, 2012.",2012,no,yes,,,,,,,,
1076,The Yellow Wallpaper Digital Edition,https://yellowwallpaperedition.com/,"Ed. by Deanna Stover and Rebecca Norton. Newport News: Christopher Newport University, 2021.",2022,no,yes,,,,,,,,
1077,The Zibaldone project,http://www.birmingham.ac.uk/research/activity/leopardi/projects/index.aspx,,,yes,no,190,not provided,not provided,yes,Long Nineteenth Century,ITA,not provided,no
