id,Edition name,URL,Historical Period,Language,Writing support,Account of textual variance,Value of witnesses,Text-Image Linking,Images,Indices,Linked Open Data,API,Source Text Translation,XML-TEI Transcription,XML(-TEI) available to download,RIDE review,Sahle Catalog
327,Aufenthaltsorte von Arthur Schnitzler (1879–1931),https://schnitzler-orte.acdh.oeaw.ac.at/,Long Nineteenth Century; Modern,GER,List; diary entry,yes,yes,no,no,no,no,no,no,yes,yes,no,no
328,Arthur Schnitzler: Lektüren. Digitale Edition der Leseliste von Arthur Schnitzler,https://schnitzler-lektueren.acdh.oeaw.ac.at/,Long Nineteenth Century; Modern,GER,List; diary entry,no,yes,no,no,yes,yes,no,no,yes,yes,no,no
329,Arthur Schnitzler: Tagebuch. Digitale Edition,https://schnitzler-tagebuch.acdh.oeaw.ac.at/,Long Nineteenth Century; Modern,GER,Diary entry,no,yes,no,yes,yes,yes,no,no,yes,yes,no,yes
331,Personen der Moderne Basis,https://pmb.acdh.oeaw.ac.at/,Long Nineteenth Century; Modern,GER,not provided,yes,not provided,no,no,yes,yes,yes,no,yes,yes,no,no
332,"Hermann Bahr – Arthur Schnitzler: Briefwechsel, Aufzeichnungen, Dokumente (1891–1931)",https://schnitzler-bahr.acdh.oeaw.ac.at/,Long Nineteenth Century; Modern,GER,Letter; note; diary entry,partly,yes,no,no,yes,yes,no,no,yes,yes,no,yes
333,Inscriptions of Roman Tripolitania (2021),https://irt2021.inslib.kcl.ac.uk/,Antiquity,LAT; GRC,Wall; monument; block,yes,yes,no,partly,yes,yes,no,ENG; FRE; DEU; ARA; ITA,yes,yes,no,no
334,"SAWS Kekaumenos, Consilia et Narrationes",https://ancientwisdoms.ac.uk/library/kekaumenos-consilia-et-narrationes/index.html,Middle Ages,GRC,Manuscript,yes,yes,no,no,yes,yes,no,ENG; ITA; DEU; RUS; SPA,yes,yes,no,no
335,SAWS Dynamic Library,https://ancientwisdoms.ac.uk/library/,Antiquity; Middle Ages,ARA; GRC; LAT; SPA,Manuscript,yes,yes,no,no,yes,yes,no,ENG,yes,yes,no,no
336,Die Urkunden und Akten des Klosters und des Oberamts Königsfelden,https://www.koenigsfelden.uzh.ch,Middle Ages,GER,Charter; manuscript,yes,yes,no,yes,yes,no,yes,no,yes,yes,no,no
338,Auden Musulin Papers: A Digital Edition of W. H. Auden's Letters to Stella Musulin,https://amp.acdh.oeaw.ac.at,Modern; Contemporary,ENG; GER,Letter; typescript; card; photograph,yes,yes,no,yes,yes,yes,no,no,yes,yes,no,yes
339,Patristic Text Archive (PTA),https://pta.bbaw.de,Antiquity,GRC; LAT; SYC; XCL,Manuscript; print,yes,yes,no,partly,yes,yes,yes,GER,yes,yes,no,no
